wellID,address
304678,185 Grove Street Waltham MA
304677,190 Willow Street Waltham MA
304676, Lincoln Woods Road Waltham MA
304675,139-171 Bear Hill Road Waltham MA
304674, Lincoln Woods Road Waltham MA
304673, Lincoln Woods Road Waltham MA
304672, Lincoln Woods Road Waltham MA
304671, Lincoln Woods Road Waltham MA
304670, Lincoln Woods Road Waltham MA
304669,241 Crescent Street Waltham MA
304668,324 Forest Street Waltham MA
304667,80-82 Calvary Street Waltham MA
304666,728 Moody Street Waltham MA
304665,540-590 Lincoln Street Waltham MA
304663,16 Cooper Street Waltham MA
304662,40 Sylvan Road Waltham MA
304661,414 Crescent Street Waltham MA
304660,95 Sawyer Road Waltham MA
304658,9-13 Wall Street Waltham MA
304657, Sawyer Road Waltham MA
304656,175 Wyman Street Waltham MA
304655,  Waltham MA
304654,175 Wyman Street Waltham MA
304652, Spring Street Waltham MA
304650,36 Spring Street Waltham MA
304649,200 Smith Street Waltham MA
304648,80-82 Calvary Street Waltham MA
304646,295 Totten Pond Road Waltham MA
304645,48 Woerd Avenue Waltham MA
304644,48 Woerd Avenue Waltham MA
304643,140 4th Avenue Waltham MA
304641, Calvary Street Waltham MA
304640,1022 Main Street Waltham MA
304639,100 Beaver Street Waltham MA
304638,  Waltham MA
304636,874 Lexington Street Waltham MA
304635,210 Lexington Street Waltham MA
304633,130 2nd Avenue Waltham MA
304632,301 2nd Avenue Waltham MA
304631,118 Calvary Street Waltham MA
304630,15-21 Main Street Waltham MA
304629,182 High Street Waltham MA
304628,66 Newton Street Waltham MA
304626, South Street Waltham MA
304625,945 Main Street Waltham MA
304624,266 2nd Avenue Waltham MA
304623,148 Bear Hill Road Waltham MA
304622,175 Wyman Street Waltham MA
304621, Winter Street Waltham MA
304619,20 Sun Street Waltham MA
304617,83 Beaver Street Waltham MA
304616, 3rd Avenue and 4th Avenue Waltham MA
304615,868 Winter Street Waltham MA
304614,145 Sheffield Road Waltham MA
304613,77 Rumford Avenue Waltham MA
304612, South Street Waltham MA
304611,85 River Street Waltham MA
304610,590 Lincoln Street Waltham MA
304609,561 Lexington Street Waltham MA
304608,200 West Street Waltham MA
304607, Winter Street Waltham MA
304606,230 3rd Avenue Waltham MA
304605,50 Jones Road Waltham MA
304604,313 Waverley Oaks Road Waltham MA
304603,48 Woerd Avenue Waltham MA
304602,343 Winter Street Waltham MA
304601,74 Rumford Avenue Waltham MA
304600,255 Wyman Street Waltham MA
304599, Woerd Avenue Waltham MA
304598,283-293 2nd Avenue Waltham MA
304597,537 South Street Waltham MA
304596,145R Newton Street Waltham MA
304595,9 Hope Avenue Waltham MA
304594,9 Hope Avenue Waltham MA
304593,194-196 Moody Street Waltham MA
304592,9 Hope Avenue Waltham MA
304591,240 Beaver Street Waltham MA
304590,1013 Main Street Waltham MA
304589,52 Gore Street Waltham MA
304588,48 Woerd Avenue Waltham MA
304587,"25, 19, 27 Jones Road Waltham MA"
304586,20 Sun Street Waltham MA
304585,145 Newton Street Waltham MA
304584,630 South Street Waltham MA
